Date,Open,High,Low,Close,Adj Close,Volume
2024-02-29,25.030001,25.040001,25.014000,25.030001,25.030001,3200
2024-03-01,25.070000,25.090000,25.000000,25.087999,25.087999,10200
2024-03-04,25.065001,25.080000,25.059999,25.065001,25.065001,16300
2024-03-05,25.090000,25.090000,25.075001,25.075001,25.075001,59200
2024-03-06,25.075001,25.075001,25.075001,25.075001,25.075001,0
2024-03-07,25.075001,25.080000,25.010000,25.045000,25.045000,6800
2024-03-08,25.044001,25.045000,25.040001,25.045000,25.045000,334100
2024-03-11,26.191999,26.191999,25.040001,25.045000,25.045000,307800
2024-03-12,23.920000,25.080000,23.920000,25.059999,25.059999,128400
2024-03-13,25.070000,25.080000,25.030001,25.059999,25.059999,262000
2024-03-14,25.084000,25.084000,25.059999,25.080000,25.080000,74600
2024-03-15,25.084999,25.084999,25.049999,25.065001,25.065001,397600
2024-03-18,25.070000,25.100000,25.059999,25.084999,25.084999,13700
2024-03-19,25.080000,25.090000,25.059999,25.075001,25.075001,118900
2024-03-20,25.090000,25.110001,25.080000,25.084999,25.084999,25700
2024-03-21,25.090000,25.100000,25.059999,25.080000,25.080000,10900
2024-03-22,25.080000,25.108000,25.059999,25.065001,25.065001,11600
2024-03-25,25.080000,25.100000,25.049999,25.084999,25.084999,18100
2024-03-26,25.083000,25.114000,25.040001,25.100000,25.100000,125300
2024-03-27,25.330000,25.330000,25.090000,25.105000,25.105000,7500
2024-03-28,25.120001,25.120001,25.090000,25.110001,25.110001,9000
2024-04-01,25.340000,25.340000,25.110001,25.139999,25.139999,13000
2024-04-02,25.129999,25.155001,25.120001,25.135000,25.135000,12200
2024-04-03,25.139999,25.160000,25.110001,25.129999,25.129999,57000
2024-04-04,25.128000,25.170000,25.120001,25.148001,25.148001,23600
2024-04-05,25.120001,25.650000,25.120001,25.139999,25.139999,64400
2024-04-08,25.170000,25.200001,25.170000,25.180000,25.180000,31100
2024-04-09,25.177000,25.190001,25.170000,25.170000,25.170000,54800
2024-04-10,25.177999,25.209999,25.170000,25.184999,25.184999,18900
2024-04-11,25.172001,25.190001,25.150000,25.170000,25.170000,49300
2024-04-12,25.160000,25.200001,25.160000,25.180000,25.180000,343000
2024-04-15,25.180000,25.200001,25.170000,25.174999,25.174999,303900
2024-04-16,25.420000,25.420000,25.170000,25.190001,25.190001,245300
2024-04-17,25.180000,25.209999,25.153999,25.184999,25.184999,40500
2024-04-18,25.188999,25.209999,25.180000,25.205000,25.205000,31100
2024-04-19,25.200001,25.240000,25.190001,25.209999,25.209999,44500
2024-04-22,25.190001,25.209999,25.190001,25.209999,25.209999,13900
2024-04-23,25.230000,25.240000,25.200001,25.219999,25.219999,29700
2024-04-24,25.200001,25.250000,25.200001,25.230000,25.230000,23000
2024-04-25,25.235001,25.250000,25.231001,25.235001,25.235001,19000
2024-04-26,25.260000,25.260000,25.219999,25.250000,25.250000,6900
2024-04-29,25.040001,25.260000,25.040001,25.240000,25.240000,15700
2024-04-30,25.240000,25.270000,25.240000,25.260000,25.260000,36000
2024-05-01,25.270000,25.281000,25.250000,25.260000,25.260000,38000
2024-05-02,25.309999,25.330000,25.309999,25.309999,25.309999,35900
2024-05-03,25.340000,25.370001,25.320000,25.354000,25.354000,63900
2024-05-06,25.313999,25.340000,25.309999,25.320000,25.320000,106500
2024-05-07,25.330000,25.330000,25.304001,25.325001,25.325001,23000
2024-05-08,25.320000,25.340000,25.309999,25.315001,25.315001,25600
2024-05-09,25.120001,25.340000,25.120001,25.320000,25.320000,14600
2024-05-10,25.330999,25.360001,25.309999,25.334999,25.334999,39700
2024-05-13,25.327999,25.350000,25.309999,25.330000,25.330000,24600
